timestamp,seriousness,message,user,function
2020-11-18 21:31:20,ERROR,"get_all_following_from_profile_page, full exception : Traceback (most recent call last):
  File ""<ipython-input-436-ef3e7a1cfe29>"", line 17, in get_all_following_from_profile_page
    driver.execute_script('arguments[0].scrollTop = arguments[0].scrollTop + arguments[0].offsetHeight;', fBody)
  File ""/Users/ethomas/anaconda3/envs/python37/lib/python3.7/site-packages/selenium/webdriver/remote/webdriver.py"", line 636, in execute_script
    'args': converted_args})['value']
  File ""/Users/ethomas/anaconda3/envs/python37/lib/python3.7/site-packages/selenium/webdriver/remote/webdriver.py"", line 321, in execute
    self.error_handler.check_response(response)
  File ""/Users/ethomas/anaconda3/envs/python37/lib/python3.7/site-packages/selenium/webdriver/remote/errorhandler.py"", line 242, in check_response
    raise exception_class(message, screen, stacktrace)
selenium.common.exceptions.StaleElementReferenceException: Message: stale element reference: element is not attached to the page document
  (Session info: chrome=87.0.4280.67)

",edouard_thom,
2020-11-18 21:31:32,INFO,Starting log_in,edouard_thom,
2020-11-18 21:31:37,INFO,log_in successful,edouard_thom,
2020-11-18 21:31:59,INFO,Starting get_all_following_from_profile_page,edouard_thom,
2020-11-18 21:31:59,INFO,Starting treat_number,edouard_thom,
2020-11-18 21:32:30,ERROR,"get_all_following_from_profile_page, full exception : Traceback (most recent call last):
  File ""<ipython-input-436-ef3e7a1cfe29>"", line 24, in get_all_following_from_profile_page
    info = WebDriverWait(driver, 3).until(EC.presence_of_element_located((By.XPATH,xpath))).text
  File ""/Users/ethomas/anaconda3/envs/python37/lib/python3.7/site-packages/selenium/webdriver/support/wait.py"", line 80, in until
    raise TimeoutException(message, screen, stacktrace)
selenium.common.exceptions.TimeoutException: Message: 

",edouard_thom,
2020-11-18 21:34:14,INFO,Starting get_all_following_from_profile_page,edouard_thom,
2020-11-18 21:34:15,INFO,Starting treat_number,edouard_thom,
2020-11-18 21:34:53,ERROR,"get_all_following_from_profile_page, full exception : Traceback (most recent call last):
  File ""<ipython-input-444-5b1108c057f8>"", line 26, in get_all_following_from_profile_page
    info = WebDriverWait(driver, 3).until(EC.presence_of_element_located((By.XPATH,xpath))).text
  File ""/Users/ethomas/anaconda3/envs/python37/lib/python3.7/site-packages/selenium/webdriver/support/wait.py"", line 80, in until
    raise TimeoutException(message, screen, stacktrace)
selenium.common.exceptions.TimeoutException: Message: 

",edouard_thom,
2020-11-18 21:36:19,INFO,Starting get_all_following_from_profile_page,edouard_thom,
2020-11-18 21:36:19,INFO,Starting treat_number,edouard_thom,
2020-11-18 21:40:06,ERROR,"get_all_following_from_profile_page, full exception : Traceback (most recent call last):
  File ""<ipython-input-446-7a3b92cea588>"", line 23, in get_all_following_from_profile_page
    info = WebDriverWait(driver, 3).until(EC.presence_of_element_located((By.XPATH,xpath))).text
  File ""/Users/ethomas/anaconda3/envs/python37/lib/python3.7/site-packages/selenium/webdriver/support/wait.py"", line 80, in until
    raise TimeoutException(message, screen, stacktrace)
selenium.common.exceptions.TimeoutException: Message: 

",edouard_thom,
2020-11-18 22:31:45,INFO,Starting log_in,edouard_thom,
2020-11-18 22:31:49,INFO,log_in successful,edouard_thom,
2020-11-18 22:31:52,INFO,Starting update_followers,edouard_thom,
2020-11-18 22:31:55,INFO,Starting get_all_followers_from_profile_page,edouard_thom,
2020-11-18 22:31:56,INFO,Starting treat_number,edouard_thom,
2020-11-18 22:31:59,ERROR,"get_all_following_from_profile_page failed, full exception : Traceback (most recent call last):
  File ""/Users/ethomas/InstaBot/instabot_functions.py"", line 162, in get_all_followers_from_profile_page
    fBody = WebDriverWait(driver, 3).until(EC.presence_of_element_located((By.XPATH, fBody_xpath)))
  File ""/Users/ethomas/anaconda3/envs/python37/lib/python3.7/site-packages/selenium/webdriver/support/wait.py"", line 80, in until
    raise TimeoutException(message, screen, stacktrace)
selenium.common.exceptions.TimeoutException: Message: 

",edouard_thom,
2020-11-18 22:31:59,ERROR,"update_followers, failed to get the followers list -> stop the function execution",edouard_thom,
2020-11-18 22:32:02,INFO,Starting unfollowing_of_bot_followed_users,edouard_thom,
2020-11-18 22:32:03,INFO,Starting get_all_following_from_profile_page,edouard_thom,
2020-11-18 22:32:03,INFO,Starting treat_number,edouard_thom,
2020-11-18 22:34:33,ERROR,"get_all_following_from_profile_page failed, full exception : Traceback (most recent call last):
  File ""/Users/ethomas/InstaBot/instabot_functions.py"", line 209, in get_all_following_from_profile_page
    info = WebDriverWait(driver, 3).until(EC.presence_of_element_located((By.XPATH,xpath))).text
  File ""/Users/ethomas/anaconda3/envs/python37/lib/python3.7/site-packages/selenium/webdriver/support/wait.py"", line 80, in until
    raise TimeoutException(message, screen, stacktrace)
selenium.common.exceptions.TimeoutException: Message: 

",edouard_thom,
2020-11-18 22:34:33,ERROR,"unfollowing_of_bot_followed_users, failed to get the following list -> stop the function execution",edouard_thom,
2020-11-18 22:34:36,INFO,"Starting explore_hashtag, hashtag={}followeraktif",edouard_thom,
2020-11-18 22:34:47,INFO,Starting get_account_data_from_profile_page,edouard_thom,
2020-11-18 22:34:47,INFO,Starting treat_number,edouard_thom,
2020-11-18 22:34:47,INFO,Starting treat_number,edouard_thom,
2020-11-18 22:34:47,INFO,Starting treat_number,edouard_thom,
2020-11-18 22:34:47,INFO,Starting follow_from_profile_page,edouard_thom,
2020-11-18 22:34:51,ERROR,UIAPI - Failed to access component : pictures_carousel_first_pic_right_arrow,edouard_thom,
2020-11-18 22:34:51,INFO,"Starting explore_hashtag, hashtag={}followme",edouard_thom,
2020-11-18 22:35:00,INFO,Starting get_account_data_from_profile_page,edouard_thom,
2020-11-18 22:35:00,INFO,Starting treat_number,edouard_thom,
2020-11-18 22:35:00,INFO,Starting treat_number,edouard_thom,
2020-11-18 22:35:00,INFO,Starting treat_number,edouard_thom,
2020-11-18 22:35:00,INFO,Starting follow_from_profile_page,edouard_thom,
2020-11-18 23:32:26,INFO,Starting log_in,edouard_thom,
2020-11-18 23:32:31,INFO,log_in successful,edouard_thom,
2020-11-18 23:32:34,INFO,Starting update_followers,edouard_thom,
2020-11-18 23:32:38,INFO,Starting get_all_followers_from_profile_page,edouard_thom,
2020-11-18 23:33:35,INFO,"get_all_followers_from_profile_page, list of the 150 followers obtained",edouard_thom,
2020-11-18 23:33:35,INFO,"update_followers, success",edouard_thom,
2020-11-18 23:33:38,INFO,Starting unfollowing_of_bot_followed_users,edouard_thom,
2020-11-18 23:33:39,INFO,Starting get_all_following_from_profile_page,edouard_thom,
2020-11-18 23:36:12,ERROR,"get_all_following_from_profile_page failed, full exception : Traceback (most recent call last):
  File ""/Users/ethomas/InstaBot/instabot_functions.py"", line 207, in get_all_following_from_profile_page
    info = WebDriverWait(driver, 3).until(EC.presence_of_element_located((By.XPATH,xpath))).text
  File ""/Users/ethomas/anaconda3/envs/python37/lib/python3.7/site-packages/selenium/webdriver/support/wait.py"", line 80, in until
    raise TimeoutException(message, screen, stacktrace)
selenium.common.exceptions.TimeoutException: Message: 

",edouard_thom,
2020-11-18 23:36:12,ERROR,"unfollowing_of_bot_followed_users, failed to get the following list -> stop the function execution",edouard_thom,
2020-11-18 23:36:15,INFO,"Starting explore_hashtag, hashtag={}l4l",edouard_thom,
2020-11-18 23:36:27,INFO,Starting get_account_data_from_profile_page,edouard_thom,
2020-11-18 23:36:27,INFO,Starting follow_from_profile_page,edouard_thom,
2020-11-18 23:36:31,ERROR,UIAPI - Failed to access component : pictures_carousel_first_pic_right_arrow,edouard_thom,
2020-11-18 23:36:31,ERROR,stop the processing of hashtag l4l,edouard_thom,
2020-11-18 23:36:31,INFO,"hashtag l4l processed, 0 accounts followed",edouard_thom,
2020-11-18 23:36:31,INFO,"Starting explore_hashtag, hashtag={}foodie",edouard_thom,
2020-11-18 23:36:34,ERROR,UIAPI - Failed to access component : first_thumbnail_photo,edouard_thom,
2020-11-18 23:36:34,INFO,"Starting explore_hashtag, hashtag={}instalife",edouard_thom,
2020-11-18 23:38:43,INFO,Starting log_in,edouard_thom,
2020-11-18 23:38:48,INFO,log_in successful,edouard_thom,
2020-11-18 23:38:51,INFO,Starting update_followers,edouard_thom,
2020-11-18 23:38:54,INFO,Starting get_all_followers_from_profile_page,edouard_thom,
2020-11-18 23:39:51,ERROR,"get_all_following_from_profile_page failed, full exception : Traceback (most recent call last):
  File ""/Users/ethomas/InstaBot/instabot_functions.py"", line 171, in get_all_followers_from_profile_page
    info = WebDriverWait(driver, 3).until(EC.presence_of_element_located((By.XPATH,xpath))).text
  File ""/Users/ethomas/anaconda3/envs/python37/lib/python3.7/site-packages/selenium/webdriver/support/wait.py"", line 80, in until
    raise TimeoutException(message, screen, stacktrace)
selenium.common.exceptions.TimeoutException: Message: 

",edouard_thom,
2020-11-18 23:39:51,ERROR,"update_followers, failed to get the followers list -> stop the function execution",edouard_thom,
2020-11-18 23:39:54,INFO,Starting unfollowing_of_bot_followed_users,edouard_thom,
2020-11-18 23:39:55,INFO,Starting get_all_following_from_profile_page,edouard_thom,
2020-11-18 23:40:03,ERROR,"get_all_following_from_profile_page failed, full exception : Traceback (most recent call last):
  File ""/Users/ethomas/InstaBot/instabot_functions.py"", line 201, in get_all_following_from_profile_page
    sleep(0.7)
KeyboardInterrupt
",edouard_thom,
2020-11-18 23:40:03,ERROR,"unfollowing_of_bot_followed_users, failed to get the following list -> stop the function execution",edouard_thom,
2020-11-18 23:40:06,INFO,"Starting explore_hashtag, hashtag={}beach",edouard_thom,
2020-11-18 23:42:35,INFO,Starting log_in,edouard_thom,
2020-11-18 23:42:39,INFO,log_in successful,edouard_thom,
2020-11-18 23:42:42,INFO,Starting update_followers,edouard_thom,
2020-11-18 23:42:46,INFO,Starting get_all_followers_from_profile_page,edouard_thom,
2020-11-18 23:43:42,INFO,"get_all_followers_from_profile_page, list of the 150 followers obtained",edouard_thom,
2020-11-18 23:43:42,INFO,"update_followers, success",edouard_thom,
2020-11-18 23:43:45,INFO,Starting unfollowing_of_bot_followed_users,edouard_thom,
2020-11-18 23:43:46,INFO,Starting get_all_following_from_profile_page,edouard_thom,
2020-11-18 23:46:35,INFO,"get_all_following_from_profile_page, list of the 414 followed accounts obtained",edouard_thom,
2020-11-18 23:46:38,INFO,"Starting explore_hashtag, hashtag={}followers",edouard_thom,
2020-11-18 23:46:48,INFO,Starting get_account_data_from_profile_page,edouard_thom,
2020-11-18 23:46:48,INFO,Starting follow_from_profile_page,edouard_thom,
2020-11-18 23:46:52,ERROR,UIAPI - Failed to access component : pictures_carousel_like_button,edouard_thom,
2020-11-18 23:46:55,ERROR,UIAPI - Failed to access component : pictures_carousel_first_pic_right_arrow,edouard_thom,
2020-11-18 23:46:55,ERROR,stop the processing of hashtag followers,edouard_thom,
2020-11-18 23:46:55,INFO,"hashtag followers processed, 0 accounts followed",edouard_thom,
2020-11-18 23:46:55,INFO,"Starting explore_hashtag, hashtag={}car",edouard_thom,
2020-11-18 23:47:04,INFO,Starting get_account_data_from_profile_page,edouard_thom,
2020-11-18 23:47:04,INFO,Starting follow_from_profile_page,edouard_thom,
2020-11-18 23:47:06,INFO,Starting get_account_data_from_profile_page,edouard_thom,
2020-11-18 23:47:06,INFO,Starting follow_from_profile_page,edouard_thom,
2020-11-18 23:47:09,INFO,Starting get_account_data_from_profile_page,edouard_thom,
2020-11-18 23:47:13,ERROR,UIAPI - Failed to access component : profile_page_target_username,edouard_thom,
2020-11-18 23:47:17,INFO,Starting get_account_data_from_profile_page,edouard_thom,
2020-11-18 23:47:17,INFO,Starting follow_from_profile_page,edouard_thom,
2020-11-18 23:47:20,ERROR,UIAPI - Failed to access component : profile_page_follow_button,edouard_thom,
2020-11-18 23:47:23,INFO,Starting get_account_data_from_profile_page,edouard_thom,
2020-11-18 23:47:23,INFO,Starting follow_from_profile_page,edouard_thom,
2020-11-18 23:47:25,INFO,Starting get_account_data_from_profile_page,edouard_thom,
2020-11-18 23:47:25,INFO,Starting follow_from_profile_page,edouard_thom,
2020-11-18 23:47:29,INFO,Starting get_account_data_from_profile_page,edouard_thom,
2020-11-18 23:47:30,INFO,Starting follow_from_profile_page,edouard_thom,
2020-11-18 23:47:30,INFO,"hashtag car processed, 4 accounts followed",edouard_thom,
2020-11-18 23:47:30,INFO,"Starting explore_hashtag, hashtag={}beach",edouard_thom,
2020-11-18 23:47:39,INFO,Starting get_account_data_from_profile_page,edouard_thom,
2020-11-18 23:47:39,INFO,Starting follow_from_profile_page,edouard_thom,
2020-11-18 23:47:42,INFO,Starting get_account_data_from_profile_page,edouard_thom,
2020-11-18 23:47:42,INFO,Starting follow_from_profile_page,edouard_thom,
2020-11-18 23:47:45,INFO,Starting get_account_data_from_profile_page,edouard_thom,
2020-11-18 23:47:45,INFO,Starting follow_from_profile_page,edouard_thom,
2020-11-18 23:47:48,INFO,Starting get_account_data_from_profile_page,edouard_thom,
2020-11-18 23:47:48,INFO,Starting follow_from_profile_page,edouard_thom,
2020-11-18 23:47:49,INFO,"hashtag beach processed, 4 accounts followed",edouard_thom,
2020-11-19 00:26:28,INFO,start,edouard_thom,log_in
2020-11-19 00:26:32,INFO,success,edouard_thom,log_in
2020-11-19 00:29:16,INFO,start,edouard_thom,log_in
2020-11-19 00:29:21,INFO,success,edouard_thom,log_in
2020-11-19 00:29:24,INFO,start,edouard_thom,update_followers
2020-11-19 00:29:27,INFO,start,edouard_thom,get_all_followers_from_profile_page
2020-11-19 00:31:11,INFO,list of the 150 followers obtained,edouard_thom,get_all_followers_from_profile_page
2020-11-19 00:31:11,INFO,success,edouard_thom,update_followers
