follow_time,account_nb_followers,account_nb_posts,hashtag,first_pic_liked,days_before_unfollowing,unfollow_time,account_username
2020-11-19 08:12:55.965934,679,40,friends,1,4,,manu.dhanesh.7
2020-11-19 08:12:59.065786,966,68,friends,1,4,,_athul_cr7_
2020-11-19 08:13:01.895373,971,11,friends,0,1,,filuz_bae
2020-11-19 08:13:04.812389,257,64,friends,1,3,,raxx_baba_
2020-11-19 08:13:23.227158,995,6,friends,1,1,,sanika_152
2020-11-19 08:13:25.911661,741,251,friends,1,2,,veellottle
2020-11-19 08:13:29.085576,542,38,friends,0,4,,black_______mamba___
2020-11-19 08:13:32.346427,703,101,friends,0,2,,_harish_baria_
2020-11-19 08:13:41.651114,8,388,ski,0,1,,ski4style
2020-11-19 08:13:44.851012,13,166,ski,0,1,,sendy_paradise
2020-11-19 08:13:47.800396,966,1030,ski,0,4,,alicecanclini
2020-11-19 08:13:50.609599,2374,52,ski,1,4,,pwdrsnow
2020-11-19 09:13:16.268564,1937,734,beach,0,3,,kerry.mcgregor
2020-11-19 09:13:19.649475,957,15,beach,1,3,,___david__lucca_10
2020-11-19 09:13:22.991653,963,58,beach,1,1,,mr_afjalguru
2020-11-19 09:13:26.205016,1156,1322,beach,0,4,,elle_wellness_
2020-11-19 09:13:41.233371,1406,929,instalife,0,1,,fabiosalsalove
2020-11-19 09:13:43.960100,463,18,instalife,0,2,,_katya_k1
2020-11-19 09:13:47.824285,993,86,instalife,0,3,,_bruninhaaa
2020-11-19 09:13:54.756182,100,94,instalife,0,4,,andresfmorenoch
2020-11-19 09:14:07.675420,455,104,foodie,0,2,,princemishra1423
2020-11-19 09:14:11.065688,1186,646,foodie,0,1,,matt_eo
2020-11-19 09:14:14.208071,2019,101,foodie,1,2,,lamagrillburger
2020-11-19 09:14:17.657649,626,2371,foodie,0,4,,songofmarch
